epoch,accuracy,auc,loss,lr,precision,recall,val_accuracy,val_auc,val_loss,val_precision,val_recall
0,0.9318783283233643,0.9974782466888428,1.1192047595977783,1e-04,0.9671744704246521,0.8850926160812378,0.9900308847427368,0.9999516010284424,0.8112514019012451,0.993488073348999,0.9841358065605164
1,0.9885251522064209,0.9997516870498657,0.8015991449356079,1e-04,0.9931520223617554,0.9793254137039185,0.9931790232658386,0.9999047517776489,0.707114040851593,0.9946381449699402,0.9904938340187073
2,0.9927711486816406,0.9997508525848389,0.720409631729126,1e-04,0.9951795339584351,0.9885516166687012,0.9906481504440308,0.9996898174285889,0.6940432786941528,0.9926866888999939,0.988703727722168
3,0.9939682483673096,0.9997740983963013,0.6923709511756897,1e-04,0.995998740196228,0.9910714030265808,0.9916666746139526,0.9997777342796326,0.6715601682662964,0.9931560158729553,0.989814817905426
4,0.9950991868972778,0.9998220801353455,0.6802688837051392,1e-04,0.9967541098594666,0.9931415319442749,0.9950925707817078,0.9998373985290527,0.6589014530181885,0.9960718750953674,0.993950605392456
5,0.9961177110671997,0.9998552799224854,0.6718660593032837,1e-04,0.9973201155662537,0.9943650960922241,0.9975000023841858,0.9999222159385681,0.6644196510314941,0.9978993535041809,0.9970061779022217
6,0.9963624477386475,0.9998197555541992,0.6684474349021912,1e-04,0.9974997639656067,0.9947552680969238,0.9960185289382935,0.9997796416282654,0.6555083990097046,0.9967535734176636,0.9950000047683716
7,0.9965938925743103,0.9998759627342224,0.6649344563484192,1e-04,0.99750155210495,0.9954695701599121,0.9973456859588623,0.9999411702156067,0.6463831663131714,0.9977449774742126,0.9968827366828918
8,0.997347891330719,0.9998610615730286,0.6616552472114563,1e-04,0.998085081577301,0.9962499737739563,0.9980863928794861,0.9999478459358215,0.640693724155426,0.9986715912818909,0.9977160692214966
9,0.9973346590995789,0.9998441934585571,0.6605663895606995,1e-04,0.9981446266174316,0.9962499737739563,0.9985802173614502,0.9999127984046936,0.6406949162483215,0.9990424513816833,0.9982715845108032
10,0.9977579116821289,0.9998897910118103,0.6588925719261169,1e-04,0.998357355594635,0.9968650937080383,0.9981481432914734,0.9999244213104248,0.6472160816192627,0.9986094236373901,0.997376561164856
