epoch,accuracy,loss,lr,precision,recall,val_accuracy,val_loss,val_precision,val_recall
0,0.7878968119621277,0.8326720595359802,0.001,0.8735064268112183,0.7223412990570068,0.8792592883110046,0.5366089940071106,0.9185120463371277,0.84746915102005
1,0.844265878200531,0.6792168021202087,0.001,0.8921808004379272,0.806408703327179,0.9127777814865112,0.4629229009151459,0.9370887875556946,0.892345666885376
2,0.8574140071868896,0.6448590159416199,0.001,0.8986431956291199,0.8252778053283691,0.8947222232818604,0.5109421610832214,0.9201207160949707,0.8749382495880127
3,0.8619576692581177,0.6280187368392944,0.001,0.9008017778396606,0.8307275176048279,0.9079938530921936,0.4785555601119995,0.9327342510223389,0.890617311000824
4,0.8666534423828125,0.6078584790229797,0.001,0.9039101004600525,0.8378505110740662,0.9185185432434082,0.4418238699436188,0.9421236515045166,0.8993209600448608
5,0.8665872812271118,0.6043846011161804,0.001,0.9042481184005737,0.8369378447532654,0.9119135737419128,0.4532175660133362,0.936057984828949,0.8928086161613464
6,0.867559552192688,0.5979773998260498,0.001,0.9049934148788452,0.8384656310081482,0.8835493922233582,0.5693399310112,0.9118998646736145,0.8635185360908508
7,0.8685516119003296,0.5934250950813293,0.001,0.9049683213233948,0.8395436406135559,0.906049370765686,0.46973660588264465,0.9328632354736328,0.8860185146331787
8,0.8929166793823242,0.49812108278274536,0.0005,0.9223399758338928,0.869775116443634,0.9399999976158142,0.33371663093566895,0.9549947381019592,0.9273765683174133
9,0.8980687856674194,0.4649893641471863,0.0005,0.9233863949775696,0.8788293600082397,0.9404012560844421,0.3253873884677887,0.9542168378829956,0.9288889169692993
10,0.9005820155143738,0.4513814449310303,0.0005,0.9250222444534302,0.8808267116546631,0.9468827247619629,0.3010496497154236,0.9603239893913269,0.9367901086807251
11,0.9024338722229004,0.44377484917640686,0.0005,0.9262488484382629,0.8839550018310547,0.9439197778701782,0.3074382543563843,0.9562029838562012,0.9339506030082703
12,0.9035184979438782,0.4368608295917511,0.0005,0.9277915358543396,0.8851388692855835,0.9451234340667725,0.29939451813697815,0.959540843963623,0.9340123534202576
13,0.9035846590995789,0.43348824977874756,0.0005,0.9272175431251526,0.8851984143257141,0.9464505910873413,0.2917601764202118,0.9592978954315186,0.9362037181854248
14,0.9027711749076843,0.43292921781539917,0.0005,0.927404522895813,0.8834325671195984,0.9410802721977234,0.31207573413848877,0.9544733762741089,0.9291975498199463
15,0.9018253684043884,0.43346065282821655,0.0005,0.9269556999206543,0.882195770740509,0.916327178478241,0.380340039730072,0.9338845610618591,0.9028703570365906
