epoch,accuracy,auc,loss,lr,precision,recall,val_accuracy,val_auc,val_loss,val_precision,val_recall
0,0.9528637528419495,0.9982379078865051,1.0674947500228882,1e-04,0.9761719107627869,0.9106547832489014,0.9853395223617554,0.9995917081832886,0.8013239502906799,0.9888588190078735,0.9807098507881165
1,0.9923280477523804,0.9998151659965515,0.7830949425697327,1e-04,0.9951387047767639,0.9829166531562805,0.9933024644851685,0.9997697472572327,0.6979372501373291,0.9954692125320435,0.9900617003440857
2,0.9950463175773621,0.9998083710670471,0.7174453139305115,1e-04,0.9968607425689697,0.9912896752357483,0.9956790208816528,0.9999389052391052,0.6678807735443115,0.9966906905174255,0.9946296215057373
3,0.9964285492897034,0.9998424053192139,0.6966854333877563,1e-04,0.9975440502166748,0.9939550161361694,0.9974074363708496,0.9999456405639648,0.6527270674705505,0.9982074499130249,0.9968518614768982
4,0.9966269731521606,0.9998131394386292,0.6865208745002747,1e-04,0.9976455569267273,0.994867742061615,0.9978395104408264,0.9998914003372192,0.6498059034347534,0.9982082843780518,0.9973148107528687
5,0.997175931930542,0.9998461008071899,0.6796735525131226,1e-04,0.9979386925697327,0.995800256729126,0.9971913695335388,0.9998382925987244,0.6481168270111084,0.9976829886436462,0.9967284202575684
6,0.9974867701530457,0.9998784065246582,0.6755048632621765,1e-04,0.9983033537864685,0.9962301850318909,0.9977777600288391,0.9998661279678345,0.6486895084381104,0.9983318448066711,0.9974382519721985
7,0.9978108406066895,0.9998633861541748,0.6730157732963562,1e-04,0.9984167218208313,0.9967658519744873,0.9973456859588623,0.999826967716217,0.6473579406738281,0.9980826377868652,0.9961110949516296
8,0.9977579116821289,0.9998713135719299,0.6715865135192871,1e-04,0.9984961152076721,0.9967790842056274,0.9970987439155579,0.9998581409454346,0.648078978061676,0.9976821541786194,0.9963889122009277
9,0.9983201026916504,0.9999176859855652,0.6688297390937805,1e-04,0.998814582824707,0.9974801540374756,0.996975302696228,0.9998579621315002,0.646027684211731,0.9974961876869202,0.9959876537322998
